ID,Artista
1,Annalisa
2,Giorgio Vanni
3,Katy Perry
4,Ado
5,Elodie
6,Emma
7,Angelina Mango
8,Rose Villain
9,Clara
10,Francesca Michielin
11,Mahmood
12,The Kolors
13,Mara Sattei
14,IRAMA
15,Marco Mengoni
16,Alessandra Amoroso
17,Elisa
18,Levante
19,Noemi
20,Paola & Chiara
21,Tananai
22,sangiovanni
23,Elettra Lamborghini
24,Giorgia
25,Ditonellapiaga
26,Arisa
27,Baby K
28,Alfa
29,Fedez
30,Loredana Bertè
31,Giusy Ferreri
32,La rappresentante di lista
33,Dargen D'Amico
34,Diodato
35,Pinguini Tattici Nucleari
36,Michele Bravi
37,Francesco Gabbani
38,Tiziano Ferro
39,Ermal Meta
40,Coma_Cose
41,Ghali
42,Takagi & Ketra
43,SANTI FRANCESI
44,Malika Ayane
45,Margherita Vicario
46,Ariette
47,Benji & Fede
48,GAZZELLE
49,Rocco Hunt
50,Thegiornalisti
51,Calcutta
52,Kaleen
53,M¥SS KETA
54,Emanuele Aloia
55,Anna Oxa
56,Coez
57,Fiorella Mannoia
58,Ultimo
59,Negramaro
60,Nina Zilli
61,geolier
62,Cesare Cremonini
63,Tommaso Paradiso
64,Mina
65,Matteo Romano
66,Il Tre
67,Mia Martini
68,Raffaella carrà
69,Liberato
70,Il Pagante
71,Il Volo
72,Aiello
73,Besa
74,Ornella Vanoni
75,Laura Pausini
76,dotter
77,Alessandra
78,Ricchi e poveri
79,Fulminacci
80,J-AX
81,Tancredi
82,Lazza
83,883
84,Vasco Rossi
85,Fabrizio Moro
86,Mango
87,Patty Pravo
88,Jovanotti
89,Gianna Nannini
90,Lùnapop
91,Loreen
92,Belén Aguilera
93,Modà
94,Lorenzo Fragola
95,Loretta Goggi
96,Le Vibrazioni
97,Nada
98,Nek
99,Zero Assoluto
100,Sarah
101,Colapesce
102,Biagio Antonacci
103,Articolo 31
104,Carmen Consoli
105,Cristina D'Avena
106,Manga Boys
107,Caparezza
108,DJ Matrix
109,Edoardo Bennato
110,Max Gazzè
111,Emis Killa
112,Claudio Baglioni
113,Lucio Battisti
114,Neffa
115,PSICOLOGI
116,Gigi D'Alessio
117,Luciano Ligabue
118,Enzo Draghi
119,Guè
120,Frah Quintale
121,Canova
122,Franco Battiato
123,Angelo Branduardi
124,Max Pezzali
125,Fabri Fibra
126,CCCP – Fedeli Alla Linea
127,Marco Masini
128,Leon Faun
129,Franco126
130,Brunori Sas
131,Elio e le Storie Tese
132,Zucchero
133,Rosa Chemical
134,Giancane
135,Lorella Cuccarini
136,Fabio Rovazzi
137,Simba La Rue
138,Rino Gaetano
139,Verdena
140,Gianni Morandi
141,Renato Zero
142,Eugenio in via di gioia
143,Rhove
144,Lucio Dalla
145,Francesco Guccini
146,Umberto Tozzi
147,Baustelle
148,Negrita
149,Antonello Venditti
150,Litfiba
151,Donatella Rettore
152,Murubutu
153,Venerus
154,Don Joe
155,Daniele Silvestri
156,I Cani
157,MinaCelentano
158,Dua Lipa
159,Lady Gaga
160,Miley Cyrus
161,Bebe Rexha
162,Ava Max
163,Madonna
164,Rihanna
165,Selena Gomez
166,Meghan Trainor
167,Britney Spears
168,CYN
169,Camila Cabello
170,Tove Lo
171,Ke$ha
172,Anitta
173,Gwen Stefani
174,Demi Lovato
175,Christina Aguilera
176,Zara Larsson
177,Selena Gomez & the Scene
178,P!nk
179,Kylie Minogue
180,Fergie
181,Jessie J
182,Shakira
183,Marina
184,Paris Hilton
185,Kim Petras
186,Bonnie McKee
187,Kelly Clarkson
188,Jennifer Lopez
189,Ellie Goulding
190,Addison Rae
191,Little Mix
192,Avril Lavigne
193,Sabrina Carpenter
194,Rita Ora
195,Adele
196,Hilary Duff
197,Carly Rae Jepsen
198,Halsey
199,Lindsay Lohan
200,Taylor Swift
201,Nelly Furtado
202,The Pussycat Dolls
203,Ariana Grande
204,Hailee Steinfeld
205,Luísa Sonza
206,Ashley Tisdale
207,ASHLEY O
208,Foxes
209,Dagny
210,Cher
211,Olivia Rodrigo
212,Nicole Scherzinger
213,Anahí
214,Charli XCX
215,Danna Paola
216,Fifth Harmony
217,Cher Lloyd
218,Mabel
219,DUDA BEAT
220,Ashlee Simpson
221,Sia
222,Lorde
223,Manu Gavassi
224,Troye Sivan
225,Jordin Sparks
226,Christina Perri
227,Lily Allen
228,Melanie Martinez
229,Benson Boone
230,Bridgit Mendler
231,Priscilla
232,Lizzo
233,Jão
234,Mariah Carey
235,Chappell Roan
236,Pixie Lott
237,Nicki Minaj
238,Rouge
239,Tate McRae
240,Beyoncé
241,Victoria Justice
242,The Veronicas
243,Wanessa
244,Heidi Montag
245,Billie Eilish
246,Hannah Montana
247,Cheryl
248,Sam Smith
249,Agnes
250,Belinda
251,Cyndi Lauper
252,Olly Alexander (Years & Years)
253,Raye
254,Natalia Kills
255,Marina & the Diamonds
256,Rachel Platten
