ID,Nome,Ascoltatori,Ascolti,Popolarità,PopolaritàLog
1,Annalisa,89068,4370884,49.07301,3.91348
2,Giorgio Vanni,16793,439328,26.15981,3.30173
3,Katy Perry,6181253,334239608,54.0731,4.00866
4,Ado,471133,42276412,89.7333,4.50792
5,Elodie,62905,3190180,50.71344,3.94571
6,Emma,104414,2288890,21.92108,3.13205
7,Angelina Mango,101863,2964852,29.10598,3.40472
8,Rose Villain,45181,1511730,33.45867,3.53976
9,Clara,54404,659606,12.12399,2.57444
10,Francesca Michielin,73504,2002822,27.24742,3.341
11,Mahmood,215719,8767939,40.64499,3.72918
12,The Kolors,89233,1211131,13.57252,2.67913
13,Mara Sattei,25268,676339,26.76556,3.32379
14,IRAMA,65993,2190739,33.19603,3.5321
15,Marco Mengoni,120881,4020922,33.26319,3.53407
16,Alessandra Amoroso,60780,1137596,18.7163,2.98144
17,Elisa,295045,6377798,21.61628,3.11867
18,Levante,38949,1457991,37.43237,3.6489
19,Noemi,66055,1158559,17.53904,2.91987
20,Paola & Chiara,70364,1295059,18.40487,2.96552
21,Tananai,62270,2790270,44.80849,3.82446
22,sangiovanni,65699,1342843,20.43901,3.06521
23,Elettra Lamborghini,50390,744956,14.78351,2.75896
24,Giorgia,135091,1944279,14.39225,2.73386
25,Ditonellapiaga,21096,397318,18.83291,2.98734
26,Arisa,47027,802765,17.06993,2.89424
27,Baby K,58432,898775,15.38129,2.79613
28,Alfa,53507,1242022,23.21189,3.18684
29,Fedez,99236,2623977,26.44151,3.31205
30,Loredana Bertè,129202,1103210,8.53857,2.25534
31,Giusy Ferreri,54683,816950,14.93947,2.76879
32,La rappresentante di lista,55249,1446119,26.17409,3.30226
33,Dargen D'Amico,36848,1051296,28.52983,3.3854
34,Diodato,41515,897815,21.62575,3.11908
35,Pinguini Tattici Nucleari,66830,3990801,59.71481,4.10618
36,Michele Bravi,29091,689764,23.70974,3.20719
37,Francesco Gabbani,52693,1010900,19.18434,3.0049
38,Tiziano Ferro,317734,7293451,22.9545,3.17615
39,Ermal Meta,36804,782082,21.24934,3.10231
40,Coma_Cose,40748,903760,22.1787,3.14323
41,Ghali,92806,4117953,44.37114,3.81487
42,Takagi & Ketra,76129,976247,12.82342,2.62636
43,SANTI FRANCESI,13419,267551,19.93673,3.0415
44,Malika Ayane,55533,747434,13.45903,2.67131
45,Margherita Vicario,16701,437759,26.20997,3.30358
46,Ariette,993,13698,13.78068,2.69332
47,Benji & Fede,32836,649534,19.78055,3.03401
48,GAZZELLE,58930,3014914,51.16006,3.95431
49,Rocco Hunt,60242,1096128,18.1951,2.95465
50,Thegiornalisti,54766,1193364,21.78983,3.12631
51,Calcutta,70813,4716502,66.60408,4.21366
52,Kaleen,50804,860657,16.94039,2.88705
53,M¥SS KETA,43386,1127066,25.97704,3.29498
54,Emanuele Aloia,14605,306211,20.96474,3.08943
55,Anna Oxa,56601,550180,9.72015,2.37212
56,Coez,75304,2939261,39.03141,3.68966
57,Fiorella Mannoia,94707,1001854,10.57834,2.44913
58,Ultimo,55582,2778254,49.98387,3.9315
59,Negramaro,127129,2372776,18.66417,2.97879
60,Nina Zilli,48224,880659,18.26146,2.9581
61,geolier,55783,3936792,70.57206,4.2707
62,Cesare Cremonini,98842,2132167,21.57124,3.11667
63,Tommaso Paradiso,20353,278899,13.70241,2.68801
64,Mina,349600,5523476,15.79937,2.82134
65,Matteo Romano,18095,372670,20.59405,3.07241
66,Il Tre,26011,1097305,42.18456,3.76548
67,Mia Martini,74404,697692,9.37695,2.33958
