ID,Nome,Ascoltatori,Ascolti,Popolarità,PopolaritàLog,ZIndex
1,Annalisa,89068,4370884,49.07301,3.91348,1.76581
2,Giorgio Vanni,16793,439328,26.15981,3.30173,0.87141
3,Katy Perry,6181253,334239608,54.0731,4.00866,1.90496
4,Ado,471133,42276412,89.7333,4.50792,2.6349
5,Elodie,62905,3190180,50.71344,3.94571,1.81293
6,Emma,104414,2288890,21.92108,3.13205,0.62333
7,Angelina Mango,101863,2964852,29.10598,3.40472,1.02198
8,Rose Villain,45181,1511730,33.45867,3.53976,1.21942
9,Clara,54404,659606,12.12399,2.57444,-0.1919
10,Francesca Michielin,73504,2002822,27.24742,3.341,0.92882
11,Mahmood,215719,8767939,40.64499,3.72918,1.49635
12,The Kolors,89233,1211131,13.57252,2.67913,-0.03884
13,Mara Sattei,25268,676339,26.76556,3.32379,0.90366
14,IRAMA,65993,2190739,33.19603,3.5321,1.20822
15,Marco Mengoni,120881,4020922,33.26319,3.53407,1.2111
16,Alessandra Amoroso,60780,1137596,18.7163,2.98144,0.40314
17,Elisa,295045,6377798,21.61628,3.11867,0.60377
18,Levante,38949,1457991,37.43237,3.6489,1.37898
19,Noemi,66055,1158559,17.53904,2.91987,0.31312
20,Paola & Chiara,70364,1295059,18.40487,2.96552,0.37986
21,Tananai,62270,2790270,44.80849,3.82446,1.63566
22,sangiovanni,65699,1342843,20.43901,3.06521,0.52561
23,Elettra Lamborghini,50390,744956,14.78351,2.75896,0.07786
24,Giorgia,135091,1944279,14.39225,2.73386,0.04117
25,Ditonellapiaga,21096,397318,18.83291,2.98734,0.41176
26,Arisa,47027,802765,17.06993,2.89424,0.27565
27,Baby K,58432,898775,15.38129,2.79613,0.13221
28,Alfa,53507,1242022,23.21189,3.18684,0.70344
29,Fedez,99236,2623977,26.44151,3.31205,0.8865
30,Loredana Bertè,129202,1103210,8.53857,2.25534,-0.65844
31,Giusy Ferreri,54683,816950,14.93947,2.76879,0.09223
32,La rappresentante di lista,55249,1446119,26.17409,3.30226,0.87218
33,Dargen D'Amico,36848,1051296,28.52983,3.3854,0.99374
34,Diodato,41515,897815,21.62575,3.11908,0.60437
35,Pinguini Tattici Nucleari,66830,3990801,59.71481,4.10618,2.04754
36,Michele Bravi,29091,689764,23.70974,3.20719,0.73319
37,Francesco Gabbani,52693,1010900,19.18434,3.0049,0.43743
38,Tiziano Ferro,317734,7293451,22.9545,3.17615,0.68781
39,Ermal Meta,36804,782082,21.24934,3.10231,0.57985
40,Coma_Cose,40748,903760,22.1787,3.14323,0.63968
41,Ghali,92806,4117953,44.37114,3.81487,1.62164
42,Takagi & Ketra,76129,976247,12.82342,2.62636,-0.11599
43,SANTI FRANCESI,13419,267551,19.93673,3.0415,0.49095
44,Malika Ayane,55533,747434,13.45903,2.67131,-0.05027
45,Margherita Vicario,16701,437759,26.20997,3.30358,0.87411
46,Ariette,993,13698,13.78068,2.69332,-0.01809
47,Benji & Fede,32836,649534,19.78055,3.03401,0.47999
48,GAZZELLE,58930,3014914,51.16006,3.95431,1.8255
49,Rocco Hunt,60242,1096128,18.1951,2.95465,0.36397
50,Thegiornalisti,54766,1193364,21.78983,3.12631,0.61494
51,Calcutta,70813,4716502,66.60408,4.21366,2.20468
52,Kaleen,50804,860657,16.94039,2.88705,0.26513
53,M¥SS KETA,43386,1127066,25.97704,3.29498,0.86154
54,Emanuele Aloia,14605,306211,20.96474,3.08943,0.56102
55,Anna Oxa,56601,550180,9.72015,2.37212,-0.4877
56,Coez,75304,2939261,39.03141,3.68966,1.43858
57,Fiorella Mannoia,94707,1001854,10.57834,2.44913,-0.37511
58,Ultimo,55582,2778254,49.98387,3.9315,1.79215
59,Negramaro,127129,2372776,18.66417,2.97879,0.39926
60,Nina Zilli,48224,880659,18.26146,2.9581,0.36901
61,geolier,55783,3936792,70.57206,4.2707,2.28807
62,Cesare Cremonini,98842,2132167,21.57124,3.11667,0.60085
63,Tommaso Paradiso,20353,278899,13.70241,2.68801,-0.02586
64,Mina,349600,5523476,15.79937,2.82134,0.16906
65,Matteo Romano,18095,372670,20.59405,3.07241,0.53614
66,Il Tre,26011,1097305,42.18456,3.76548,1.54943
67,Mia Martini,74404,697692,9.37695,2.33958,-0.53527
68,Raffaella carrà,165546,1828660,11.04616,2.48874,-0.3172
69,Liberato,28642,1391356,48.57577,3.9035,1.75122
70,Il Pagante,40062,822011,20.51795,3.06888,0.53098
71,Il Volo,103858,2002106,19.27715,3.00949,0.44415
72,Aiello,15376,255378,16.60779,2.86834,0.23778
73,Besa,25555,244165,9.55411,2.35651,-0.51052
74,Ornella Vanoni,181528,1701714,9.37433,2.33933,-0.53564
75,Laura Pausini,496505,18001113,36.25557,3.6178,1.33351
76,dotter,41644,1358190,32.61351,3.51492,1.1831
77,Alessandra,169475,3027640,17.86471,2.93729,0.33859
78,Ricchi e poveri,317369,3102067,9.77429,2.37716,-0.48033
79,Fulminacci,36727,1614569,43.96016,3.80577,1.60833
80,J-AX,66512,1386593,20.84694,3.08406,0.55317
81,Tancredi,15514,203417,13.11098,2.64695,-0.08589
82,Lazza,82259,8568940,104.16897,4.65556,2.85075
83,883,76120,1575081,20.6918,3.07693,0.54274
84,Vasco Rossi,186492,4005076,21.47574,3.11243,0.59465
85,Fabrizio Moro,48974,631250,12.88922,2.63111,-0.10905
86,Mango,79770,835022,10.46773,2.43953,-0.38914
87,Patty Pravo,102885,836610,8.13142,2.21172,-0.72221
88,Jovanotti,235769,4601555,19.51713,3.02126,0.46135
89,Gianna Nannini,178548,2106019,11.79518,2.54906,-0.22901
90,Lùnapop,32593,374620,11.49352,2.52521,-0.26388
91,Loreen,687043,17009095,24.75692,3.2487,0.79388
92,Belén Aguilera,54529,3258206,59.7507,4.10677,2.0484
93,Modà,44737,771496,17.24475,2.90387,0.28973
94,Lorenzo Fragola,28133,438877,15.59952,2.80937,0.15156
95,Loretta Goggi,37562,264034,7.02909,2.08307,-0.9103
96,Le Vibrazioni,65494,610425,9.32017,2.3341,-0.54329
97,Nada,148626,1435621,9.65922,2.36642,-0.49603
98,Nek,223991,3548246,15.84094,2.82381,0.17268
99,Zero Assoluto,99819,1305969,13.08323,2.64498,-0.08877
100,Sarah,36531,440145,12.0482,2.56865,-0.20037
101,Colapesce,63494,1425150,22.44507,3.15466,0.65639
